starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:18:05 2023	1697253485	0	57	57	48
Fri Oct 13 20:18:05 2023	1697253485	1	57	57	48
Fri Oct 13 20:18:05 2023	1697253485	0	78	78	70
Fri Oct 13 20:18:05 2023	1697253485	1	94	95	37
Fri Oct 13 20:18:11 2023	1697253491	0	100	100	37
Fri Oct 13 20:18:14 2023	1697253494	4	100	104	49
Fri Oct 13 20:18:11 2023	1697253491	0	104	104	41
Fri Oct 13 20:18:11 2023	1697253491	0	108	108	91
Fri Oct 13 20:18:05 2023	1697253485	2	108	110	97
Fri Oct 13 20:18:14 2023	1697253494	0	110	110	41
Fri Oct 13 20:18:05 2023	1697253485	4	107	111	100
Fri Oct 13 20:18:14 2023	1697253494	0	112	112	103
Fri Oct 13 20:18:15 2023	1697253495	1	114	114	32
Fri Oct 13 20:18:15 2023	1697253495	1	114	115	37
Fri Oct 13 20:18:15 2023	1697253495	0	115	115	98
Fri Oct 13 20:18:15 2023	1697253495	0	115	115	87
Fri Oct 13 20:18:15 2023	1697253495	1	115	115	97
Fri Oct 13 20:18:15 2023	1697253495	1	115	116	38
Fri Oct 13 20:18:15 2023	1697253495	0	117	117	87
Fri Oct 13 20:18:15 2023	1697253495	4	114	118	78
Fri Oct 13 20:18:15 2023	1697253495	0	118	118	113
Fri Oct 13 20:18:09 2023	1697253489	0	119	119	52
Fri Oct 13 20:18:15 2023	1697253495	1	119	119	54
Fri Oct 13 20:18:11 2023	1697253491	0	121	121	96
Fri Oct 13 20:18:15 2023	1697253495	7	116	123	64
Fri Oct 13 20:18:11 2023	1697253491	0	127	127	63
Fri Oct 13 20:18:11 2023	1697253491	1	135	136	39
Fri Oct 13 20:18:15 2023	1697253495	1	138	138	134
Fri Oct 13 20:18:06 2023	1697253486	0	142	142	116
Fri Oct 13 20:18:05 2023	1697253485	0	143	143	137
Fri Oct 13 20:18:14 2023	1697253494	0	143	143	76
Fri Oct 13 20:18:09 2023	1697253489	0	145	145	59
Fri Oct 13 20:18:11 2023	1697253491	0	147	147	82
Fri Oct 13 20:18:09 2023	1697253489	2	146	148	137
Fri Oct 13 20:18:14 2023	1697253494	0	148	148	80
Fri Oct 13 20:18:14 2023	1697253494	0	151	151	63
Fri Oct 13 20:18:06 2023	1697253486	0	151	151	78
Fri Oct 13 20:18:06 2023	1697253486	1	151	151	73
Fri Oct 13 20:18:14 2023	1697253494	0	151	151	83
Fri Oct 13 20:18:14 2023	1697253494	0	152	152	69
Fri Oct 13 20:18:09 2023	1697253489	0	153	153	134
Fri Oct 13 20:18:14 2023	1697253494	0	154	154	93
Fri Oct 13 20:18:11 2023	1697253491	0	155	155	45
Fri Oct 13 20:18:11 2023	1697253491	0	155	155	77
Fri Oct 13 20:18:11 2023	1697253491	0	156	156	74
Fri Oct 13 20:18:15 2023	1697253495	0	156	156	139
Fri Oct 13 20:18:06 2023	1697253486	0	156	156	118
Fri Oct 13 20:18:15 2023	1697253495	0	157	157	141
Fri Oct 13 20:18:14 2023	1697253494	0	159	159	58
Fri Oct 13 20:18:14 2023	1697253494	0	160	160	52
