starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:17:39 2023	1697253459	0	61	61	52
Fri Oct 13 20:17:39 2023	1697253459	0	75	75	54
Fri Oct 13 20:17:39 2023	1697253459	1	76	76	44
Fri Oct 13 20:17:33 2023	1697253453	0	88	88	48
Fri Oct 13 20:17:39 2023	1697253459	0	88	88	68
Fri Oct 13 20:17:39 2023	1697253459	1	96	97	55
Fri Oct 13 20:17:39 2023	1697253459	2	104	106	74
Fri Oct 13 20:17:33 2023	1697253453	0	108	108	78
Fri Oct 13 20:17:33 2023	1697253453	0	109	109	61
Fri Oct 13 20:17:33 2023	1697253453	0	109	109	68
Fri Oct 13 20:17:33 2023	1697253453	1	109	110	63
Fri Oct 13 20:17:24 2023	1697253444	0	116	116	100
Fri Oct 13 20:17:39 2023	1697253459	0	116	116	77
Fri Oct 13 20:17:24 2023	1697253444	0	126	126	58
Fri Oct 13 20:17:24 2023	1697253444	0	126	126	118
Fri Oct 13 20:17:32 2023	1697253452	1	129	130	81
Fri Oct 13 20:17:26 2023	1697253446	1	136	137	60
Fri Oct 13 20:17:24 2023	1697253444	0	137	137	112
Fri Oct 13 20:17:32 2023	1697253452	0	141	141	127
Fri Oct 13 20:17:39 2023	1697253459	1	141	141	85
Fri Oct 13 20:17:37 2023	1697253457	0	142	142	77
Fri Oct 13 20:17:26 2023	1697253446	0	142	142	125
Fri Oct 13 20:17:32 2023	1697253452	0	143	143	131
Fri Oct 13 20:17:32 2023	1697253452	0	144	144	141
Fri Oct 13 20:17:24 2023	1697253444	0	147	147	137
Fri Oct 13 20:17:24 2023	1697253444	1	146	147	138
Fri Oct 13 20:17:32 2023	1697253452	0	148	148	106
Fri Oct 13 20:17:30 2023	1697253450	0	151	151	77
Fri Oct 13 20:17:24 2023	1697253444	0	152	152	142
Fri Oct 13 20:17:32 2023	1697253452	1	153	154	77
Fri Oct 13 20:17:39 2023	1697253459	0	155	155	84
Fri Oct 13 20:17:37 2023	1697253457	0	157	157	72
Fri Oct 13 20:17:37 2023	1697253457	0	158	158	67
Fri Oct 13 20:17:37 2023	1697253457	0	159	159	78
Fri Oct 13 20:17:24 2023	1697253444	0	159	159	148
Fri Oct 13 20:17:32 2023	1697253452	0	161	161	110
Fri Oct 13 20:17:30 2023	1697253450	0	163	163	102
Fri Oct 13 20:17:30 2023	1697253450	0	163	163	60
Fri Oct 13 20:17:37 2023	1697253457	0	170	170	129
Fri Oct 13 20:17:37 2023	1697253457	0	171	171	86
Fri Oct 13 20:17:32 2023	1697253452	0	171	171	161
Fri Oct 13 20:17:37 2023	1697253457	0	172	172	60
Fri Oct 13 20:17:37 2023	1697253457	0	172	172	58
Fri Oct 13 20:17:33 2023	1697253453	0	175	175	84
Fri Oct 13 20:17:27 2023	1697253447	0	180	180	163
Fri Oct 13 20:17:32 2023	1697253452	0	180	180	109
Fri Oct 13 20:17:36 2023	1697253456	0	181	181	166
Fri Oct 13 20:17:32 2023	1697253452	1	180	181	106
Fri Oct 13 20:17:28 2023	1697253448	12	178	190	139
Fri Oct 13 20:17:37 2023	1697253457	0	191	191	42
Fri Oct 13 20:17:29 2023	1697253449	0	191	191	100
Fri Oct 13 20:17:37 2023	1697253457	0	192	192	28
Fri Oct 13 20:17:32 2023	1697253452	0	193	193	137
Fri Oct 13 20:17:26 2023	1697253446	0	194	194	185
Fri Oct 13 20:17:29 2023	1697253449	0	195	195	109
Fri Oct 13 20:17:32 2023	1697253452	0	195	195	186
Fri Oct 13 20:17:32 2023	1697253452	7	188	196	180
Fri Oct 13 20:17:29 2023	1697253449	2	194	196	80
Fri Oct 13 20:17:29 2023	1697253449	0	197	197	78
Fri Oct 13 20:17:33 2023	1697253453	0	197	197	119
Fri Oct 13 20:17:29 2023	1697253449	0	199	199	95
Fri Oct 13 20:17:30 2023	1697253450	0	199	199	40
Fri Oct 13 20:17:29 2023	1697253449	0	199	199	77
Fri Oct 13 20:17:29 2023	1697253449	0	200	200	111
Fri Oct 13 20:17:27 2023	1697253447	0	201	201	130
Fri Oct 13 20:17:26 2023	1697253446	0	201	201	185
Fri Oct 13 20:17:30 2023	1697253450	1	206	206	60
Fri Oct 13 20:17:37 2023	1697253457	0	207	207	200
